Node:0,Node:1,Scalar:0,Scalar:1
9223,10429,0.0,0.0792144
10830,10429,0.0554903,0.0792144
10429,9630,0.0792144,0.157734
9631,9630,0.10352,0.157734
9630,10436,0.157734,0.461225
8840,10436,0.240807,0.461225
10436,9246,0.461225,0.9228
11251,9246,0.594975,0.9228
8892,9699,0.685161,0.954063
8864,9671,0.695562,1.0129
10478,9685,0.69619,0.975158
10906,10113,0.69663,0.942672
8920,9727,0.719308,0.935794
10934,10141,0.74309,0.928184
8948,9755,0.758121,0.916819
10562,9769,0.769184,0.90677
9376,9783,0.773824,0.89362
9999,9991,0.77437,0.792707
10590,9797,0.778063,0.882172
10384,9991,0.77837,0.792707
9971,10377,0.778862,0.794462
9404,10210,0.779745,0.871295
9943,10350,0.780712,0.804187
9888,10294,0.781139,0.82171
10357,9964,0.781298,0.802288
10329,9936,0.781645,0.809803
10301,9908,0.781827,0.819938
9860,10266,0.782128,0.83425
10274,9880,0.782184,0.828452
9915,10322,0.782191,0.813284
10618,9825,0.782192,0.861125
9432,10238,0.782397,0.851355
10246,9852,0.78311,0.843467
9991,10377,0.792707,0.794462
10377,9964,0.794462,0.802288
9964,10350,0.802288,0.804187
10350,9936,0.804187,0.809803
9936,10322,0.809803,0.813284
10322,9908,0.813284,0.819938
9908,10294,0.819938,0.82171
10294,9880,0.82171,0.828452
9880,10266,0.828452,0.83425
10266,9852,0.83425,0.843467
9852,10238,0.843467,0.851355
10238,9825,0.851355,0.861125
9825,10210,0.861125,0.871295
10210,9797,0.871295,0.882172
9797,9783,0.882172,0.89362
9783,9769,0.89362,0.90677
9769,9755,0.90677,0.916819
9755,10141,0.916819,0.928184
9246,14800,0.9228,1.00015
10141,9727,0.928184,0.935794
9727,10113,0.935794,0.942672
10113,9699,0.942672,0.954063
9699,9685,0.954063,0.975158
9685,9671,0.975158,1.0129
17200,14800,1.00006,1.00015
0,6000,1.00007,1.0002
14800,6000,1.00015,1.0002
6000,10457,1.0002,1.03076
9671,1293,1.0129,1.01896
94,1293,1.01826,1.01896
1293,18506,1.01896,1.0258
19709,18506,1.02433,1.0258
18506,1321,1.0258,1.02885
122,1321,1.02753,1.02885
1321,18534,1.02885,1.03063
19734,18534,1.02977,1.03063
18534,10457,1.03063,1.03076
10457,1349,1.03076,1.03221
149,1349,1.03215,1.03221
1349,43,1.03221,1.08381
38,43,1.08292,1.08381
43,8025,1.08381,1.42196
